[METADATA]
Parameter,Value
Total Population,30917
Total Simulation Days,7

[DEVICE_SUMMARY]
Device,TotalLitersConsumed,TotalUses
toilet,2489600.00,1244800
shower,8156609.83,233951
wash_bassin,2590186.01,1281945
wash_machine,3874608.00,26907
dish_washer,4171502.96,5381635
tanque,988615.49,248643

[PULSE_DATA]
horario_segundos,toilet,shower,wash_bassin,wash_machine,dish_washer,tanque,total
936,18.40,31.22,21.89,17.40,18.80,0.00,107.71
937,21.60,31.09,21.93,17.50,18.72,0.00,110.84
938,22.80,31.21,21.73,17.50,18.79,0.00,112.04
939,24.40,31.41,21.84,17.50,19.06,0.00,114.20
940,23.60,31.31,22.01,17.50,19.21,0.00,113.62
941,22.00,31.42,22.12,17.50,19.13,0.00,112.17
942,18.80,31.37,21.89,17.40,19.23,0.00,108.69
943,16.40,31.30,22.02,17.40,19.31,0.00,106.43
944,13.60,31.22,22.31,17.30,19.47,0.00,103.90
945,12.00,31.22,22.43,17.30,19.41,0.00,102.36
946,14.00,31.13,23.15,17.30,19.57,0.00,105.16
947,14.40,31.13,23.38,17.30,19.31,0.00,105.51
948,14.40,31.21,23.40,17.30,19.45,0.00,105.76
949,18.40,31.21,23.31,17.30,19.54,0.00,109.76
950,19.60,31.40,23.51,17.30,18.91,0.00,110.73
951,16.00,31.33,23.17,17.20,19.05,0.00,106.75
952,17.20,31.41,22.97,17.10,19.36,0.00,108.05
953,17.60,31.41,22.83,17.00,19.01,0.00,107.86
954,16.80,31.37,22.72,17.00,18.98,0.00,106.86
955,16.80,31.47,22.81,17.00,18.98,0.00,107.05
956,22.40,31.59,22.48,17.00,18.98,0.00,112.46
957,18.80,31.67,22.66,17.00,19.04,0.00,109.18
958,18.00,31.67,22.63,17.00,18.83,0.00,108.13
959,15.60,31.75,22.38,16.90,18.64,0.00,105.27
960,13.20,31.68,22.35,16.90,18.53,0.00,102.65
961,9.20,31.75,22.19,16.90,18.35,0.00,98.38
962,12.40,31.83,22.09,16.90,18.42,0.00,101.64
963,15.20,31.83,22.34,16.90,18.39,0.00,104.66
964,14.80,31.83,22.31,16.80,18.63,0.00,104.36
965,16.40,31.61,22.49,16.80,18.68,0.00,105.98
966,15.60,31.59,22.30,16.80,18.59,0.00,104.87
967,14.80,31.66,22.15,16.80,18.60,0.00,104.02
968,14.40,31.66,22.29,16.80,18.52,0.00,103.68
969,14.40,31.59,22.23,16.80,18.43,0.00,103.44
970,15.20,31.63,22.31,16.80,18.39,0.00,104.33
971,17.60,31.65,22.23,16.80,18.25,0.00,106.53
972,16.00,31.65,22.56,16.80,18.45,0.00,105.45
973,16.00,31.40,22.81,16.80,18.30,0.00,105.30
974,17.20,31.42,22.60,16.80,18.35,0.00,106.37
975,16.40,31.32,22.46,16.80,18.11,0.00,105.08
976,15.20,31.51,22.20,16.80,18.12,0.00,103.82
977,18.80,31.55,22.03,16.90,18.10,0.00,107.38
978,18.00,31.39,22.03,16.90,18.08,0.00,106.40
979,17.60,31.63,22.25,16.90,17.76,0.00,106.14
