[METADATA]
Parameter,Value
Total Population,155367
Total Simulation Days,1

[DEVICE_SUMMARY]
Device,TotalLitersConsumed,TotalUses
toilet,4050448.42,892956
shower,5854537.88,167885
wash_bassin,1855011.21,919179
wash_machine,2773152.00,19258
dish_washer,2992687.47,3862989
tanque,708924.69,178650

[PULSE_DATA]
horario_segundos,toilet,shower,wash_bassin,wash_machine,dish_washer,tanque,total
430,28.31,24.75,18.41,13.20,14.82,0.00,99.48
431,28.43,24.75,18.43,13.20,14.80,0.00,99.61
432,28.48,24.87,18.19,13.20,15.02,0.00,99.76
433,28.43,24.76,18.14,13.20,14.71,0.00,99.24
434,28.56,24.62,18.43,13.30,14.58,0.00,99.49
435,28.64,24.62,18.34,13.30,14.60,0.00,99.50
436,28.64,24.71,18.42,13.30,14.99,0.00,100.06
437,28.64,25.02,18.11,13.30,14.85,0.00,99.92
438,28.43,25.15,18.32,13.20,14.89,0.00,99.99
439,28.35,25.15,18.13,13.20,15.08,0.00,99.91
440,28.18,25.24,18.28,13.20,15.17,0.00,100.08
441,27.97,25.32,18.00,13.10,15.01,0.00,99.40
442,27.80,25.10,17.93,13.20,14.79,0.00,98.83
443,27.68,24.97,17.94,13.20,14.70,0.00,98.49
444,27.80,24.93,18.08,13.10,14.75,0.00,98.67
445,27.97,24.86,18.07,13.10,14.72,0.00,98.73
446,27.97,24.52,17.80,13.00,14.69,0.00,97.97
447,27.80,24.52,17.79,13.00,14.56,0.00,97.66
448,27.93,24.54,17.44,13.00,14.69,0.00,97.60
449,27.93,24.44,17.24,13.00,14.79,0.00,97.41
450,27.85,24.57,17.16,13.00,14.76,0.00,97.33
451,28.06,24.68,17.10,13.00,14.80,0.00,97.64
452,28.10,24.68,17.24,13.00,14.89,0.00,97.91
453,28.06,24.51,17.42,13.00,15.09,0.00,98.08
454,27.93,24.51,17.34,13.00,15.13,0.00,97.91
455,27.72,24.51,17.13,13.00,15.54,0.00,97.90
456,27.68,24.60,17.43,13.00,15.52,0.00,98.23
